group,chem,dose,replicate,gene
PAH,DBAC,(5,s2,HLA-DOA
Nitro-PAH,3-NBA,(0.025,s3,SLC22A23
PAH,DBA,(75,s2,HLA-DPA1
PAH,DBPDE,(0.000625,s3,COL11A2
Other,Furan,(100,s2,COL11A2
Aldehydes,Formaldehyde,(120,s1,SLC22A23
Alkylating Agent,ENU,(400,s1,RING1
Other,Acrolein,(5,s2,RING1
Other,Acrolein,(5,s2,RING1
Other,MX,(7,s1,VPS52
PAH,5-Methylchrysene,(1.6,s2,SLC22A23
Alkylating Agent,DMH,(11.6,s2,VPS52
PAH,DBADE,(0.109,s6,VPS52
Nitro-PAH,6-Nitrochrysene,(0.78,s1,DAXX
PAH,BPDE,(0.125,s1,DUSP22
Heterocyclic Amine,IQ,(450,s1,DUSP22
Metal,Nickel,(II),s2,SYNGAP1
Nitro-PAH,6-Nitrochrysene,(0.78,s1,SLC22A23
Aromatic Amine,2-Naphthylamine,(200,s3,SLC22A23
Nitro-PAH,3-NBA,(0.1,s3,BAK1
PAH,DBA,(75,s3,IP6K3
Metal,Cadmium,chloride,s1,IP6K3
Drug Therapy,Camptothecin,(0.0063,s1,LINC01016
Nitro-PAH,"1,6-DNP",(0.09,s3,LINC01016
Nitro-PAH,6-Nitrochrysene,(0.78,s2,LINC01016
Aromatic Amine,4-ABP,(300,s1,LINC01016
Metal,Potassium,chromate,s2,RP3-468B3.2
PAH,DBP,(0.0039,s3,RP3-468B3.2
Nitro-PAH,3-NBA,(0.1,s3,RP3-468B3.2
Drug Therapy,Cisplatin,(12.5,s1,RP3-468B3.2
Nitro-PAH,"1,8-DNP",(8,s1,RP3-468B3.2
Nitrosamine,N-Nitrosopyrrolidine,(50,s3,GRM4
ROS/NOS,Potassium,bromate,s3,GRM4
Nitro-PAH,6-Nitrochrysene,(50,s1,GRM4
Nitro-PAH,6-Nitrochrysene,(0.78,s2,DUSP22
Alkylating Agent,DMH,(11.6,s2,GRM4
PAH,DBADE,(0.0313,s1,SLC22A23
PAH,5-Methylchrysene,(1.6,s3,SLC22A23
Nitro-PAH,1-Nitropyrene,(1.75,s2,HMGA1
PAH,DBADE,(0.109,s6,C6orf1
PAH,5-Methylchrysene,(1.6,s3,NUDT3
Radiation,SSR,(1.25,s4,NUDT3
Other,Propylene,oxide,s2,NUDT3
Nitro-PAH,6-Nitrochrysene,(50,s2,NUDT3
Metal,Sodium,(meta),s3,DUSP22
Aromatic Amine,Benzidine,(200,s3,DUSP22
PAH,DBADE,(0.0313,s1,NUDT3
Control,DMSO,Control,s1,SLC22A23
PAH,DBADE,(0.109,s6,NUDT3
ROS/NOS,Peroxynitrite,(30,s2,RPS10
PAH,DBADE,(0.109,s6,RPS10
PAH,5-Methylchrysene,(1.6,s1,PACSIN1
Alkylating Agent,ENU,(400,s3,PACSIN1
PAH,DBP,(0.0039,s1,PACSIN1
PAH,DBADE,(0.0313,s3,PACSIN1
Alkylating Agent,DES,(0.938,s2,PACSIN1
PAH,DBADE,(0.109,s5,PACSIN1
Nitro-PAH,"1,6-DNP",(0.09,s1,PACSIN1
PAH,5-Methylchrysene,(1.6,s1,SPDEF
Nitro-PAH,6-Nitrochrysene,(50,s2,SPDEF
Drug Therapy,Bleomycin,(0.188,s2,C6orf106
Other,Glycidamide,(475,s2,C6orf106
PAH,BPDE,(0.125,s2,SNRPC
Alkylating Agent,DMS,(0.078,s1,SNRPC
Alkylating Agent,MNU,(350,s1,SNRPC
Other,AFB1,(0.25,s1,SNRPC
Radiation,SSR,(1.25,s4,DUSP22
PAH,BPDE,(0.125,s1,UHRF1BP1
PAH,BPDE,(0.125,s2,UHRF1BP1
Other,AAI,(1.25,s2,UHRF1BP1
Drug Therapy,Temozolomide,(200,s2,UHRF1BP1
Alkylating Agent,DMS,(0.078,s1,ANKS1A
Radiation,SSR,(1.25,s6,ANKS1A
Control,DMSO,Control,s3,ANKS1A
Radiation,SSR,(1.25,s4,ANKS1A
Drug Therapy,Mechlorethamine,(0.3,s1,ANKS1A
Drug Therapy,Ellipticine,(0.375,s2,ANKS1A
Alkylating Agent,DMH,(11.6,s1,ANKS1A
PAH,BPDE,(0.125,s2,ANKS1A
Other,Propylene,oxide,s3,ANKS1A
Nitro-PAH,6-Nitrochrysene,(0.78,s1,ANKS1A
Metal,Potassium,chromate,s2,ANKS1A
Nitrosamine,N-Nitrosopyrrolidine,(50,s1,ANKS1A
Nitrosamine,N-Nitrosopyrrolidine,(50,s1,TCP11
PAH,BPDE,(0.125,s3,TCP11
Aromatic Amine,Benzidine,(200,s1,TCP11
Control,DMSO,Control,s2,SCUBE3
PAH,DBA,(75,s2,SCUBE3
PAH,BPDE,(0.125,s1,ZNF76
Alkylating Agent,MNNG,(0.75,s3,ZNF76
PAH,BPDE,(0.125,s2,ZNF76
PAH,BPDE,(0.125,s1,ZNF76
PAH,DBPDE,(0.000625,s3,ZNF76
PAH,DBADE,(0.0313,s2,ZNF76
Aromatic Amine,"2,6-Dimethylaniline",(3.8,s1,DEF6
Nitro-PAH,6-Nitrochrysene,(50,s2,DEF6
PAH,DBADE,(0.0313,s2,DEF6
Nitro-PAH,"1,8-DNP",(0.125,s3,PPARD
Drug Therapy,Temozolomide,(200,s1,PPARD
Radiation,SSR,(1.25,s4,PPARD
PAH,DBPDE,(0.000156,s1,PPARD
PAH,DBPDE,(0.000156,s3,PPARD
PAH,DBADE,(0.0313,s2,PPARD
PAH,BPDE,(0.125,s2,FANCE
Nitro-PAH,6-Nitrochrysene,(0.78,s1,FANCE
Alkylating Agent,ENU,(400,s1,TEAD3
PAH,5-Methylchrysene,(1.6,s3,TULP1
ROS/NOS,Potassium,bromate,s4,DUSP22
Nitro-PAH,6-Nitrochrysene,(50,s2,FKBP5
Drug Therapy,Etoposide,(0.0188,s1,FKBP5
Drug Therapy,Ellipticine,(0.375,s2,FKBP5
PAH,5-Methylchrysene,(1.6,s2,FKBP5
PAH,BPDE,(0.125,s2,FKBP5
PAH,DBC,(3.5,s2,FKBP5
Nitro-PAH,1-Nitropyrene,(2.5,s2,FKBP5
Alkylating Agent,DMH,(11.6,s1,FKBP5
Heterocyclic Amine,PhIP,(3,s4,FKBP5
Radiation,SSR,(1.25,s5,ARMC12
PAH,DBADE,(0.0313,s2,CLPSL2
Nitro-PAH,6-Nitrochrysene,(50,s2,CLPSL1
PAH,DBADE,(0.0313,s3,LHFPL5
PAH,BPDE,(0.125,s1,LHFPL5
Drug Therapy,Temozolomide,(200,s1,LHFPL5
PAH,BPDE,(0.125,s1,LHFPL5
Other,Propylene,oxide,s1,SRPK1
Radiation,SSR,(1.25,s4,SRPK1
Heterocyclic Amine,PhIP,(4,s5,SRPK1
Radiation,SSR,(1.25,s6,SRPK1
PAH,DBPDE,(0.000156,s2,SLC26A8
Aromatic Amine,"2,6-Dimethylaniline",(3.8,s2,SLC26A8
Drug Therapy,Ellipticine,(0.25,s1,SLC26A8
Other,AAII,(37.5,s5,SLC26A8
Nitro-PAH,6-Nitrochrysene,(0.78,s2,SLC26A8
Alkylating Agent,DMH,(11.6,s1,SLC26A8
PAH,DBA,(75,s2,SLC26A8
Radiation,SSR,(1.25,s4,MAPK14
Radiation,SSR,(1.25,s4,MAPK14
Aromatic Amine,MOCA,(37.5,s2,MAPK14
PAH,BPDE,(0.125,s1,MAPK14
Other,AAI,(1.25,s2,MAPK14
Nitro-PAH,"1,8-DNP",(0.125,s2,RP1-223B1.1
PAH,DBAC,(5,s1,MAPK13
Other,AAI,(1.25,s1,BRPF3
PAH,BPDE,(0.125,s2,BRPF3
Radiation,Gamma,irradiation,s1,BRPF3
Alkylating Agent,DMH,(11.6,s3,BRPF3
Drug Therapy,Semustine,(700,s3,BRPF3
PAH,BPDE,(0.125,s3,PNPLA1
Drug Therapy,Cisplatin,(12.5,s3,PNPLA1
PAH,BPDE,(0.125,s3,RP1-223B1.1
PAH,DBPDE,(0.000625,s3,PNPLA1
PAH,BPDE,(0.125,s3,PNPLA1
Other,Furan,(100,s1,PNPLA1
PAH,DBADE,(0.109,s6,PNPLA1
PAH,DBADE,(0.109,s1,C6orf222
Nitro-PAH,"1,8-DNP",(8,s1,C6orf222
PAH,5-Methylchrysene,(1.6,s1,C6orf222
Other,Acrolein,(5,s1,C6orf222
Other,MX,(7,s1,ETV7
PAH,DBPDE,(0.000625,s3,PXT1
Drug Therapy,Carboplatin,(5,s3,PXT1
Nitro-PAH,"1,6-DNP",(0.09,s1,PXT1
Alkylating Agent,DMS,(0.078,s2,KCTD20
PAH,DBADE,(0.0313,s2,STK38
Alkylating Agent,DMH,(11.6,s1,SRSF3
Other,Styrene,oxide,s6,SRSF3
Alkylating Agent,DMH,(11.6,s3,CDKN1A
Drug Therapy,Cisplatin,(3.125,s6,CDKN1A
PAH,DBADE,(0.109,s6,CPNE5
PAH,DBADE,(0.0313,s1,CPNE5
Nitro-PAH,6-Nitrochrysene,(50,s2,CPNE5
PAH,BaP,(2,s1,CPNE5
PAH,5-Methylchrysene,(1.6,s2,CPNE5
PAH,BPDE,(0.125,s1,CPNE5
Nitro-PAH,3-NBA,(0.1,s4,CPNE5
PAH,DBADE,(0.109,s6,CPNE5
Aldehydes,Formaldehyde,(120,s1,CPNE5
ROS/NOS,Potassium,bromate,s1,CPNE5
PAH,BPDE,(0.125,s1,CPNE5
Heterocyclic Amine,PhIP,(4,s5,PPIL1
Alkylating Agent,DMH,(11.6,s3,PPIL1
Metal,Cobalt,(II),s5,C6orf89
Nitro-PAH,3-NBA,(0.1,s4,C6orf89
Alkylating Agent,DES,(0.938,s3,RP1-90K10.4
Radiation,SSR,(1.25,s6,PI16
PAH,DBADE,(0.109,s1,PI16
Radiation,SSR,(1.25,s4,PI16
PAH,BPDE,(0.125,s2,COX6A1P2
Heterocyclic Amine,MeIQX,(300,s4,PXDC1
Alkylating Agent,DMH,(11.6,s2,RNF8
Aromatic Amine,Benzidine,(200,s2,RNF8
Drug Therapy,Ellipticine,(0.25,s1,RNF8
PAH,DBADE,(0.0313,s2,RNF8
ROS/NOS,Potassium,bromate,s4,CMTR1
PAH,BaP,(2,s3,CCDC167
PAH,BPDE,(0.125,s3,PXDC1
DNA Damage Response Inhibitors,AZD7762,(1.625,s2,CCDC167
Nitro-PAH,6-Nitrochrysene,(0.78,s1,RP1-153P14.8
PAH,DBADE,(0.109,s6,RP1-153P14.8
Drug Therapy,Ellipticine,(0.25,s1,RP1-153P14.5
PAH,BPDE,(0.125,s1,RP1-153P14.5
Alkylating Agent,ENU,(400,s3,RP1-153P14.5
PAH,DBADE,(0.0313,s1,MDGA1
Other,OTA,(0.08,s1,MDGA1
PAH,BPDE,(0.125,s1,ZFAND3
PAH,DBA,(75,s2,ZFAND3
Drug Therapy,Ellipticine,(0.375,s4,ZFAND3
PAH,DBA,(75,s2,ZFAND3
Nitro-PAH,6-Nitrochrysene,(12.5,s1,ZFAND3
Alkylating Agent,MNNG,(0.75,s3,ZFAND3
PAH,DBP,(0.0313,s2,ZFAND3
Drug Therapy,Ellipticine,(0.375,s1,ZFAND3
Other,AAI,(1.25,s3,ZFAND3
PAH,5-Methylchrysene,(1.6,s1,ZFAND3
Aldehydes,Formaldehyde,(120,s1,ZFAND3
PAH,BPDE,(0.125,s1,ZFAND3
PAH,DBADE,(0.0313,s1,ZFAND3
Nitro-PAH,3-NBA,(0.1,s2,ZFAND3
PAH,BPDE,(0.125,s1,ZFAND3
Control,DMSO,Control,s2,BTBD9
PAH,DBADE,(0.0313,s3,BTBD9
Other,AAI,(1.25,s1,BTBD9
Alkylating Agent,DMH,(9,s3,BTBD9
Alkylating Agent,DMH,(11.6,s3,BTBD9
PAH,BaP,(2,s1,BTBD9
Drug Therapy,Semustine,(150,s3,BTBD9
Alkylating Agent,DMH,(11.6,s3,BTBD9
Nitro-PAH,6-Nitrochrysene,(0.78,s2,BTBD9
PAH,DBADE,(0.0313,s2,BTBD9
Aromatic Amine,2-Naphthylamine,(400,s2,BTBD9
Heterocyclic Amine,IQ,(450,s1,BTBD9
Drug Therapy,Temozolomide,(200,s2,BTBD9
Nitro-PAH,6-Nitrochrysene,(50,s2,FAM50B
Alkylating Agent,DMH,(11.6,s3,BTBD9
ROS/NOS,Potassium,bromate,s4,BTBD9
PAH,BPDE,(0.125,s3,DNAH8
Alkylating Agent,MNU,(350,s2,DNAH8
Metal,Nickel,(II),s2,DNAH8
Nitro-PAH,"1,8-DNP",(8,s3,DNAH8
Aromatic Amine,o-Anisidine,(0.85,s5,DNAH8
Alkylating Agent,ENU,(400,s3,DNAH8
Nitro-PAH,3-NBA,(0.1,s2,DNAH8
Nitro-PAH,3-NBA,(0.1,s2,DNAH8
Other,Styrene,oxide,s4,DNAH8
PAH,DBADE,(0.0313,s3,DNAH8
Control,DMSO,Control,s1,DNAH8
Nitro-PAH,6-Nitrochrysene,(50,s2,DNAH8
Aromatic Amine,MOCA,(37.5,s2,DNAH8
Nitro-PAH,6-Nitrochrysene,(50,s1,DNAH8
Nitro-PAH,"1,8-DNP",(0.125,s1,DNAH8
Alkylating Agent,MNU,(350,s2,DNAH8
PAH,BaP,(2,s1,DNAH8
PAH,DBADE,(0.109,s1,DNAH8
Other,Styrene,oxide,s5,DNAH8
Aromatic Amine,Benzidine,(200,s2,DNAH8
Aromatic Amine,Benzidine,(900,s3,RP1-140K8.5
Other,Propylene,oxide,s2,GLP1R
Alkylating Agent,DMS,(0.078,s2,GLP1R
Nitro-PAH,6-Nitrochrysene,(50,s2,GLP1R
Other,AAI,(1.25,s1,RP1-140K8.5
PAH,DBADE,(0.109,s5,KCNK5
PAH,DBADE,(0.109,s6,KCNK5
PAH,DBADE,(0.109,s1,KCNK5
PAH,DBADE,(0.109,s5,KCNK5
PAH,BPDE,(0.125,s3,IRF4
Nitro-PAH,"1,8-DNP",(8,s1,KIF6
PAH,DBA,(75,s3,KIF6
Nitro-PAH,"1,8-DNP",(8,s1,KIF6
Alkylating Agent,MNU,(350,s3,KIF6
Other,AAI,(1.25,s2,KIF6
Other,Catechol,(5.5,s2,KIF6
PAH,DBADE,(0.109,s5,KIF6
Nitro-PAH,3-NBA,(0.1,s3,KIF6
Other,Propylene,oxide,s1,KIF6
PAH,BPDE,(0.125,s3,KIF6
PAH,BaP,(2,s1,KIF6
Control,Media,Control,s1,KIF6
Other,Propylene,oxide,s2,KIF6
Nitro-PAH,"1,8-DNP",(8,s2,KIF6
Radiation,SSR,(1.25,s4,KIF6
PAH,DBADE,(0.109,s6,KIF6
Drug Therapy,Cisplatin,(12.5,s3,KIF6
Drug Therapy,Cisplatin,(12.5,s1,KIF6
Metal,Potassium,chromate,s2,KIF6
Heterocyclic Amine,PhIP,(3,s4,DAAM2
Control,DMSO,Control,s3,DAAM2
PAH,DBADE,(0.0313,s3,DAAM2
PAH,DBADE,(0.0313,s3,DAAM2
Other,Furan,(100,s3,DAAM2
Nitro-PAH,6-Nitrochrysene,(50,s1,DAAM2
Heterocyclic Amine,MeAaC,(70,s2,DAAM2
Nitro-PAH,6-Nitrochrysene,(50,s1,MOCS1
PAH,DBPDE,(0.000625,s1,MOCS1
Alkylating Agent,DES,(0.938,s3,MOCS1
PAH,BPDE,(0.125,s1,IRF4
PAH,DBADE,(0.0313,s1,RP11-552E20.1
Other,AAII,(37.5,s5,PRPF4B
Alkylating Agent,ENU,(400,s3,RP11-552E20.4
Nitro-PAH,3-NBA,(0.1,s3,PRPF4B
Nitro-PAH,6-Nitrochrysene,(50,s1,LRFN2
PAH,DBADE,(0.0313,s3,LRFN2
Other,AAII,(37.5,s6,PRPF4B
Alkylating Agent,MNNG,(0.75,s3,LRFN2
Other,AFB1,(0.25,s1,PRPF4B
PAH,DBADE,(0.109,s6,LRFN2
Nitro-PAH,6-Nitrochrysene,(50,s1,LRFN2
Metal,Sodium,(meta),s3,LRFN2
Nitro-PAH,3-NBA,(0.025,s3,LRFN2
PAH,BPDE,(0.125,s1,LRFN2
PAH,5-Methylchrysene,(1.6,s2,LRFN2
Nitro-PAH,"1,6-DNP",(0.09,s1,LRFN2
Nitro-PAH,"1,8-DNP",(8,s2,IRF4
PAH,DBPDE,(0.000156,s1,PRPF4B
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RP11-570K4.1
Nitro-PAH,6-Nitrochrysene,(50,s2,C6orf201
Drug Therapy,Cisplatin,(3.125,s4,C6orf201
Drug Therapy,Ellipticine,(0.625,s1,OARD1
Nitro-PAH,6-Nitrochrysene,(50,s1,TREML1
Other,Catechol,(5.5,s1,TREML1
Metal,Potassium,chromate,s2,TREML1
PAH,DBADE,(0.109,s6,TREM2
Nitro-PAH,6-Nitrochrysene,(0.78,s2,TREML2
Control,DMSO,Control,s2,TREM1
PAH,DBA,(75,s2,TREM1
PAH,BPDE,(0.125,s3,TREM1
Nitro-PAH,"1,8-DNP",(8,s1,TREM1
Nitro-PAH,6-Nitrochrysene,(50,s1,C6orf201
Nitro-PAH,3-NBA,(0.1,s3,C6orf201
Other,Sudan,I,s1,ECI2
Drug Therapy,Cisplatin,(3.125,s6,FOXP4
Other,Methyleugenol,(1.25,s3,RP3-400B16.1
Drug Therapy,Carboplatin,(5,s1,FOXP4
Alkylating Agent,ENU,(400,s1,FOXP4
Drug Therapy,Temozolomide,(200,s1,FOXP4
Heterocyclic Amine,MeAaC,(70,s2,FOXP4
Heterocyclic Amine,MeIQX,(300,s3,FOXP4
PAH,DBADE,(0.109,s6,FOXP4
Nitro-PAH,"1,8-DNP",(8,s1,MDFI
Alkylating Agent,DES,(0.938,s2,TFEB
Aldehydes,Formaldehyde,(120,s2,TFEB
PAH,DBADE,(0.109,s6,TFEB
Nitro-PAH,"1,6-DNP",(0.09,s3,TFEB
Drug Therapy,Ellipticine,(0.25,s2,PGC
PAH,DBADE,(0.109,s6,PGC
Alkylating Agent,DMS,(0.078,s1,PGC
Drug Therapy,Cisplatin,(12.5,s2,RP11-298J23.8
Radiation,SSR,(1.25,s4,FRS3
Other,AAI,(1.25,s1,USP49
Nitro-PAH,"1,8-DNP",(0.125,s1,USP49
Other,Propylene,oxide,s3,USP49
Aromatic Amine,MOCA,(37.5,s3,USP49
Nitro-PAH,"1,8-DNP",(8,s2,MED20
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RP3-400B16.3
Radiation,SSR,(1.25,s4,BYSL
PAH,DBADE,(0.109,s1,CCND3
Other,Styrene,oxide,s5,CCND3
PAH,DBAC,(5,s2,CCND3
Aromatic Amine,Benzidine,(900,s1,CCND3
DNA Damage Response Inhibitors,AZ20,(0.9375,s2,CCND3
Other,MX,(7,s1,CCND3
Radiation,SSR,(1.25,s4,CCND3
Nitro-PAH,"1,8-DNP",(8,s1,CCND3
PAH,BPDE,(0.125,s1,CCND3
PAH,DBPDE,(0.000625,s3,TAF8
Nitro-PAH,"1,8-DNP",(8,s3,RP11-7K24.3
Heterocyclic Amine,PhIP,(4,s4,RP11-7K24.3
Nitro-PAH,"1,8-DNP",(0.125,s3,RP11-7K24.3
Nitro-PAH,"1,8-DNP",(0.125,s3,RP11-7K24.3
Aromatic Amine,"2,6-Dimethylaniline",(11,s1,C6orf132
PAH,DBADE,(0.109,s1,C6orf132
PAH,DBADE,(0.109,s6,C6orf132
Nitro-PAH,"1,8-DNP",(8,s3,C6orf132
PAH,DBP,(0.0313,s1,GUCA1A
Alkylating Agent,DMH,(11.6,s2,GUCA1A
PAH,5-Methylchrysene,(1.6,s2,GUCA1A
PAH,DBADE,(0.109,s1,GUCA1A
PAH,5-Methylchrysene,(1.6,s2,TRERF1
PAH,DBA,(75,s1,TRERF1
Other,Propylene,oxide,s1,TRERF1
Other,AAII,(37.5,s5,TRERF1
PAH,DBADE,(0.109,s6,TRERF1
Nitro-PAH,3-NBA,(0.025,s2,TRERF1
Aromatic Amine,2-Naphthylamine,(200,s2,TRERF1
Metal,Lead,(II),s1,TRERF1
Alkylating Agent,MMS,(100,s1,TRERF1
PAH,5-Methylchrysene,(1.6,s2,TRERF1
Nitro-PAH,3-NBA,(0.025,s2,TRERF1
Nitro-PAH,6-Nitrochrysene,(50,s1,UBR2
PAH,BPDE,(0.125,s1,UBR2
PAH,DBADE,(0.109,s5,UBR2
PAH,DBADE,(0.109,s5,UBR2
Aromatic Amine,o-Anisidine,(6,s2,UBR2
PAH,5-Methylchrysene,(1.6,s1,UBR2
PAH,DBADE,(0.109,s5,UBR2
Other,Catechol,(5.5,s1,PRPH2
Other,Propylene,oxide,s3,PRPH2
Heterocyclic Amine,IQ,(450,s1,GLTSCR1L
PAH,DBADE,(0.0313,s2,GLTSCR1L
PAH,DBA,(75,s1,GLTSCR1L
PAH,DBAC,(5,s2,GLTSCR1L
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RPL7L1
Alkylating Agent,DMH,(11.6,s3,CNPY3
PAH,DBA,(75,s1,PEX6
PAH,DBADE,(0.109,s6,PEX6
PAH,DBPDE,(0.000625,s1,KLHDC3
Other,AAII,(37.5,s6,CUL7
PAH,DBADE,(0.109,s6,KLC4
Control,DMSO,Control,s2,KLC4
Other,AAI,(1.25,s3,PTK7
PAH,BPDE,(0.125,s2,PTK7
Nitro-PAH,6-Nitrochrysene,(0.78,s1,PTK7
Other,AAI,(1.25,s3,PTK7
Aldehydes,Acetaldehyde,(0.9,s2,PTK7
PAH,DBADE,(0.0313,s2,PTK7
Nitro-PAH,"1,8-DNP",(8,s1,PTK7
Alkylating Agent,ENU,(400,s3,SRF
PAH,BPDE,(0.125,s2,SRF
Alkylating Agent,DMH,(11.6,s1,CUL9
Nitro-PAH,1-Nitropyrene,(2.5,s2,CUL9
Alkylating Agent,DMS,(0.078,s3,CUL9
Alkylating Agent,DES,(0.938,s2,DNPH1
Drug Therapy,Cisplatin,(3.125,s6,TTBK1
Alkylating Agent,ENU,(400,s3,TTBK1
Drug Therapy,Olaparib,(0.625,s3,TTBK1
Other,AFB1,(0.25,s1,TTBK1
Alkylating Agent,DMH,(11.6,s2,SLC22A7
Other,Acrylamide,(9.5,s1,SLC22A7
Metal,Lead,(II),s1,ZNF318
Control,DMSO,Control,s1,ZNF318
Nitro-PAH,"1,8-DNP",(8,s2,ZNF318
PAH,DBC,(3.5,s1,ZNF318
Nitro-PAH,"1,8-DNP",(0.125,s3,ZNF318
Nitro-PAH,3-NBA,(0.1,s2,ABCC10
Drug Therapy,Temozolomide,(200,s2,TJAP1
Nitro-PAH,6-Nitrochrysene,(50,s1,XPO5
Nitro-PAH,6-Nitrochrysene,(0.78,s2,XPO5
PAH,DBADE,(0.0313,s3,XPO5
Radiation,SSR,(1.25,s4,XPO5
Nitro-PAH,2-Nitrofluorene,(40,s2,POLH
Alkylating Agent,DMH,(11.6,s3,POLH
Other,Glycidamide,(475,s2,POLH
Aromatic Amine,4-ABP,(40,s2,RSPH9
PAH,DBA,(75,s1,RSPH9
PAH,BPDE,(0.125,s1,RP1-261G23.5
PAH,BPDE,(0.125,s1,RP1-261G23.5
PAH,BPDE,(0.125,s1,VEGFA
Aromatic Amine,2-Naphthylamine,(200,s1,VEGFA
PAH,DBADE,(0.0313,s2,RP11-344J7.2
Alkylating Agent,DES,(0.938,s1,RP11-344J7.2
PAH,DBADE,(0.0313,s2,C6orf223
PAH,DBADE,(0.0313,s2,C6orf223
PAH,DBADE,(0.109,s1,RP5-1120P11.3
Radiation,SSR,(1.25,s4,TMEM63B
ROS/NOS,H2O2,(24.5,s1,TMEM63B
PAH,DBADE,(0.109,s1,CAPN11
Other,Propylene,oxide,s2,CAPN11
PAH,DBADE,(0.109,s1,SLC29A1
Drug Therapy,Temozolomide,(200,s2,HSP90AB1
PAH,BPDE,(0.125,s1,HSP90AB1
Nitro-PAH,6-Nitrochrysene,(50,s1,AARS2
PAH,DBPDE,(0.000156,s2,AARS2
PAH,BPDE,(0.125,s1,SPATS1
PAH,BPDE,(0.125,s1,SPATS1
Alkylating Agent,DMH,(9,s3,SPATS1
PAH,5-Methylchrysene,(1.6,s2,SPATS1
Alkylating Agent,DMH,(11.6,s1,CDC5L
Metal,Potassium,chromate,s6,RP3-449H6.1
Other,AAI,(1.25,s3,SUPT3H
Aromatic Amine,2-Naphthylamine,(200,s1,SUPT3H
Other,Glycidamide,(475,s2,SUPT3H
Other,Propylene,oxide,s1,SUPT3H
Aromatic Amine,2-Naphthylamine,(200,s4,SUPT3H
Other,"1,4-Benzoquinone",(5,s1,SUPT3H
PAH,DBP,(0.0313,s1,SUPT3H
Alkylating Agent,DMS,(0.078,s1,SUPT3H
Alkylating Agent,DMH,(11.6,s2,SUPT3H
Alkylating Agent,DMH,(11.6,s1,SUPT3H
Other,AAI,(1.25,s3,SUPT3H
Nitro-PAH,6-Nitrochrysene,(12.5,s1,SUPT3H
Nitro-PAH,6-Nitrochrysene,(12.5,s1,SUPT3H
PAH,5-Methylchrysene,(1.6,s2,SUPT3H
Other,Propylene,oxide,s1,SUPT3H
PAH,DBADE,(0.0313,s3,SUPT3H
Nitro-PAH,2-Nitrofluorene,(40,s1,SUPT3H
PAH,BaP,(2,s3,SUPT3H
Alkylating Agent,DMH,(11.6,s2,SUPT3H
Other,MX,(7,s1,SUPT3H
Other,Glycidamide,(475,s2,SUPT3H
PAH,5-Methylchrysene,(1.6,s2,SUPT3H
Control,Media,Control,s4,SUPT3H
Nitro-PAH,6-Nitrochrysene,(50,s1,SUPT3H
PAH,DBA,(75,s1,SUPT3H
Drug Therapy,Temozolomide,(200,s1,SUPT3H
PAH,DBP,(0.0313,s2,RUNX2
Nitro-PAH,6-Nitrochrysene,(50,s1,RUNX2
Nitro-PAH,"1,8-DNP",(8,s3,RUNX2
Metal,Cadmium,chloride,s1,RUNX2
DNA Damage Response Inhibitors,AZ20,(0.9375,s2,RUNX2
Nitro-PAH,6-Nitrochrysene,(50,s2,RUNX2
Alkylating Agent,MMS,(100,s1,RUNX2
Other,Methyleugenol,(1.9,s3,RUNX2
PAH,DBPDE,(0.000625,s2,RUNX2
Aromatic Amine,4-ABP,(40,s2,RUNX2
Heterocyclic Amine,PhIP,(3,s1,RUNX2
Nitro-PAH,6-Nitrochrysene,(50,s2,RUNX2
PAH,DBADE,(0.0313,s3,RUNX2
PAH,DBADE,(0.0313,s3,RUNX2
Nitrosamine,N-Nitrosopyrrolidine,(50,s2,RUNX2
Nitrosamine,N-Nitrosopyrrolidine,(50,s2,RUNX2
PAH,BPDE,(0.125,s1,RUNX2
Radiation,SSR,(1.25,s4,RUNX2
Other,Catechol,(5.5,s2,RUNX2
Radiation,SSR,(1.25,s6,RP1-166H4.2
Alkylating Agent,DMS,(0.078,s1,CLIC5
PAH,BaP,(2,s3,CLIC5
Control,Media,Control,s1,CLIC5
Nitro-PAH,"1,8-DNP",(0.125,s3,CLIC5
Drug Therapy,Cyclophosphamide,(18.75,s1,CLIC5
Nitro-PAH,3-NBA,(0.025,s1,CLIC5
Nitro-PAH,6-Nitrochrysene,(50,s1,CLIC5
Control,Media,Control,s2,CLIC5
Alkylating Agent,DMH,(11.6,s3,CLIC5
PAH,BPDE,(0.125,s1,CLIC5
Alkylating Agent,DES,(0.938,s3,CLIC5
Radiation,SSR,(1.25,s6,CLIC5
ROS/NOS,Potassium,bromate,s3,ENPP4
Control,DMSO,Control,s1,ENPP4
Drug Therapy,Camptothecin,(0.0063,s2,ENPP4
PAH,DBADE,(0.109,s5,ENPP4
PAH,DBAC,(5,s2,RCAN2
Heterocyclic Amine,IQ,(450,s2,RCAN2
Nitro-PAH,"1,8-DNP",(0.125,s3,RCAN2
PAH,DBPDE,(0.000625,s1,RCAN2
Metal,Cadmium,chloride,s1,RCAN2
Nitro-PAH,6-Nitrochrysene,(50,s1,RCAN2
Control,Media,Control,s2,RCAN2
PAH,DBADE,(0.109,s1,RCAN2
Alkylating Agent,DES,(0.938,s2,RCAN2
